ring,physical_mean,zernike_mean
1,2.4578702326383715,2.1947582532795544
2,3.402492169516582,2.1097219798207667
3,6.043377610143805,2.6508017507100092
4,7.175257610829948,2.994365810334018
5,6.876099610512562,2.354407080328302
6,15.400221903935629,2.4595184616122188
7,7.871347266501517,2.439006127892365
8,10.971203749269256,3.442794861526265
9,20.145814697140125,3.3927002184586517
10,6.524100438816634,2.6711433163915075
